,adult,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,title,vote_average,vote_count
6885,False,0,Comedy,es,0.6,,,2018-02-02,0,,The Cousin,2.0,1
6886,False,0,"Drama, Romance",ko,4.354,,South Korea,2016-03-03,0,76,Purpose of Hiking,0.0,0
6887,False,0,Comedy,es,0.698,,,2018-09-21,0,,Drunk Angry Idiot,2.0,1
6888,False,0,"Drama, Romance",ko,1.602,,South Korea,2016-01-28,0,65,Hot Neighbor,0.0,0
6889,False,0,Comedy,it,1.341,Amato Film,Italy,1936-03-15,0,,Non ti conosco più,0.0,0
6890,False,0,,en,1.526,,,,0,,El multiplicador,0.0,0
6891,False,0,"Romance, Thriller",ko,0.883,,South Korea,2015-10-07,0,,맛있는 덫-정사,0.0,0
6892,False,0,,es,0.6,,,,0,,A Wild Day,0.0,0
6893,False,0,Drama,en,0.6,Jesse L. Lasky Feature Play Company,United States of America,1916-02-13,0,50,The Trail of the Lonesome Pine,0.0,0
6894,False,0,"Drama, Romance",ko,0.904,,South Korea,2016-02-29,0,71,Tasty Encounter,0.0,0
6895,False,0,,es,0.84,,,,0,,Throw Everything Into Play,0.0,0
6896,False,0,Romance,ko,0.6,,South Korea,2012-01-01,0,,사랑오감,0.0,0
6897,True,0,"Romance, Drama",ko,16.739,,South Korea,2015-10-22,0,84,Strange Hair Salon,7.4,4
6898,False,0,Drama,en,0.6,Edison Manufacturing Company,United States of America,1917-01-29,0,,Pardners,0.0,0
6899,False,0,"Romance, Comedy",ko,2.017,,South Korea,2016-02-25,0,93,Comic Series,0.0,0
6900,False,0,Science Fiction,es,0.946,,,2018-11-02,0,87,Cygnus,7.0,1
6901,False,0,"Drama, Romance",ko,4.677,,South Korea,2015-08-20,0,91,Mother's Friend,0.0,0
6902,False,0,"Drama, Romance",ko,0.6,,South Korea,2015-12-31,0,,Actress SEX Scandal,0.0,0
6903,False,0,Family,en,0.6,,,2006-03-15,0,59,King of Christmas,0.0,0
6904,False,0,"Drama, Horror, Mystery",es,4.394,"Circe Films, Piano","Netherlands, Mexico",2018-08-02,0,96,Time Share,5.5,22
6905,False,0,Comedy,it,1.127,Lux Film,Italy,1939-08-07,0,,Due milioni per un sorriso,0.0,0
6906,False,0,Romance,ko,0.6,,South Korea,2015-06-11,0,80,Outing,0.0,0
6907,False,0,Romance,ko,0.6,,South Korea,2015-11-19,0,,Yong Ju Gul,0.0,0
6908,False,0,"Romance, Drama",ko,2.212,,South Korea,2015-12-24,0,92,Dangerous Addiction,0.0,0
6909,False,0,"Drama, Romance",ko,0.6,,South Korea,2015-10-14,0,,Married Women,0.0,0
6910,False,0,,no,0.6,,,2016-03-08,0,36,Trace,0.0,0
6911,False,0,"Animation, Comedy",es,2.351,Huevocartoon Producciones,,2018-03-09,0,,Martians vs Mexicans,5.8,5
6912,True,0,"Romance, Drama",ko,20.04,,South Korea,2015-05-27,0,89,House With A Nice View 2,6.0,1
6913,False,0,Comedy,en,0.853,,United States of America,2016-03-14,0,15,Pop Music,0.0,0
6914,False,0,"Drama, Romance",ko,1.534,,South Korea,2015-12-15,0,,전원일기: 젖소농장새댁,0.0,0
6915,False,0,Thriller,es,1.015,"Neverending Media, Época Films S.A.",Mexico,2016-01-13,0,,Thoroughbred,7.0,3
6916,False,0,"Romance, Comedy",ko,1.241,,South Korea,2015-09-10,0,,Young Sister in Law,0.0,0
6917,False,0,"Comedy, Drama",te,0.926,,,2016-03-04,0,158,Kalyana Vaibhogame,7.0,1
6918,False,0,"Drama, Romance",ko,0.701,,South Korea,2014-11-27,0,,An Affair A Dangerous Sexual Play,0.0,0
6919,False,0,"Romance, Drama",ko,4.959,,South Korea,2015-11-19,0,97,Good Sister-In-Law - Forbidden Love,6.5,2
6920,False,500,"Mystery, Thriller, Action",ko,1.185,Opus Pictures,South Korea,2016-03-03,500,87,Musudan,6.3,6
6921,True,0,Comedy,en,0.645,,South Korea,2016-03-03,0,,School Of Youth 2,1.0,1
6922,False,0,Romance,ko,4.177,,South Korea,2016-03-10,0,96,My Friend's Older Sister,3.0,1
